,year,month,day,hour,Title_sentiment,Comment_sentiment,return,senti
58901,2021,1,10,17,0.0,0.09580370370370368,,0.09580370370370368
58928,2021,1,10,18,0.0,0.04839999999999999,,0.04839999999999999
58958,2021,1,10,19,0.0,-0.015491666666666673,,-0.015491666666666673
59006,2021,1,10,20,0.0,0.05888888888888888,,0.05888888888888888
59024,2021,1,10,21,0.4754000000000003,0.14682424242424244,,0.6222242424242428
59090,2021,1,10,22,0.0,0.16361176470588237,,0.16361176470588237
59107,2021,1,10,23,0.0,-0.07109285714285714,,-0.07109285714285714
59121,2021,1,11,0,0.0,0.10212272727272728,,0.10212272727272728
59209,2021,1,11,1,0.15293333333333334,0.2633,,0.41623333333333334
59230,2021,1,11,2,-0.21843333333333342,0.11877222222222222,,-0.0996611111111112
59284,2021,1,11,3,0.0,0.04896842105263158,,0.04896842105263158
59303,2021,1,11,4,0.0,0.20184375000000002,,0.20184375000000002
59335,2021,1,11,5,0.17020000000000002,0.07446875000000003,0.0005841121495326894,0.24466875000000005
59431,2021,1,11,6,-0.22479999999999978,0.14490714285714285,-0.00465116279069755,-0.07989285714285693
59473,2021,1,11,7,0.0,0.03786666666666667,-0.20037192003719206,0.03786666666666667
59482,2021,1,11,8,0.0,-0.02043000000000001,0.12031250000000004,-0.02043000000000001
59502,2021,1,11,9,0.3243,0.03952857142857144,-0.06341463414634152,0.3638285714285714
59544,2021,1,11,10,0.0,0.14640833333333333,0.06107660455486541,0.14640833333333333
59556,2021,1,11,11,0.0,0.09721111111111111,-0.002581311306143585,0.09721111111111111
59565,2021,1,11,12,0.031018750000000025,-0.11379999999999998,-0.012238653748087636,-0.08278124999999996
59805,2021,1,11,13,0.17127619047619072,0.01484000000000002,-0.03730976926853225,0.18611619047619074
60015,2021,1,11,14,0.046361538461538135,0.11212528735632202,0.026713709677419484,0.15848682581786017
61146,2021,1,11,15,0.04378749999999991,0.103154255319149,-0.0045158053186151745,0.1469417553191489
62650,2021,1,11,16,-0.004914285714286105,0.06596258992805745,0.0,0.061048304213771346
63623,2021,1,11,17,0.0245928571428566,0.03957844827586206,-0.001002506265664116,0.06417130541871865
65247,2021,1,11,18,0.12468571428571404,0.08358787878787877,-0.0054835493519441725,0.2082735930735928
65709,2021,1,11,19,0.024783333333333216,0.07099450549450548,-0.0019900497512439497,0.09577783882783869
66255,2021,1,11,20,0.1826142857142847,0.05931818181818177,0.0050000000000001155,0.24193246753246647
66948,2021,1,11,21,0.0009000000000000132,0.05213749999999998,,0.053037499999999994
67524,2021,1,11,22,-0.01629999999999992,0.06214821428571426,,0.04584821428571434
67692,2021,1,11,23,0.0,0.1702438202247191,,0.1702438202247191
67781,2021,1,12,0,0.0,0.15460281690140842,,0.15460281690140842
67852,2021,1,12,1,0.16210000000000038,0.2832717948717947,,0.4453717948717951
68047,2021,1,12,2,0.37159999999999943,0.07374736842105264,,0.44534736842105205
68161,2021,1,12,3,0.0,0.12195000000000002,,0.12195000000000002
68213,2021,1,12,4,0.0,0.09959523809523811,,0.09959523809523811
68255,2021,1,12,5,0.0,0.09499767441860466,0.0,0.09499767441860466
68298,2021,1,12,6,-0.2517000000000003,0.10733793103448276,-0.011369253583786487,-0.14436206896551756
68385,2021,1,12,7,0.0,0.08333529411764706,0.011500000000000066,0.08333529411764706
68453,2021,1,12,8,-0.02580000000000002,0.08666363636363636,0.001502253380070151,0.06086363636363634
68497,2021,1,12,9,0.0,0.004628571428571428,0.018357980622131453,0.004628571428571428
68511,2021,1,12,10,0.0,0.06256666666666666,-0.029207920792079237,0.06256666666666666
68538,2021,1,12,11,0.04290000000000004,0.13434285714285712,0.007984031936127733,0.17724285714285717
68566,2021,1,12,12,0.0,0.225275,-0.004470938897168431,0.225275
68574,2021,1,12,13,0.0,0.08857272727272726,0.013085052843482492,0.08857272727272726
68596,2021,1,12,14,0.15017999999999984,-0.04643181818181818,0.004042445679636186,0.10374818181818166
68706,2021,1,12,15,0.0,0.0058350000000000155,-0.007522567703109438,0.0058350000000000155
68726,2021,1,12,16,0.0,0.16564000000000004,-0.002999999999999892,0.16564000000000004
68786,2021,1,12,17,0.04546666666666672,0.15063529411764706,-0.0014977533699451762,0.19610196078431377
68888,2021,1,12,18,0.0,0.08177058823529411,-0.0034825870646766344,0.08177058823529411
68905,2021,1,12,19,0.38512499999999994,0.31686666666666663,-0.002481389578163684,0.7019916666666666
69001,2021,1,12,20,-0.19984999999999936,0.00872307692307694,0.0,-0.19112692307692242
69261,2021,1,12,21,0.1147,-0.04379999999999999,,0.0709
69345,2021,1,12,22,0.0,0.07760285714285714,,0.07760285714285714
69380,2021,1,12,23,0.3055999999999996,0.12767446808510635,,0.43327446808510595
69521,2021,1,13,0,0.1307999999999998,0.13006857142857142,,0.2608685714285712
69661,2021,1,13,1,0.0,0.17567812500000002,,0.17567812500000002
69725,2021,1,13,2,-0.0106250000000001,0.17883103448275867,,0.16820603448275856
69841,2021,1,13,3,0.2440666666666667,0.12054444444444447,,0.36461111111111116
69895,2021,1,13,4,0.0,0.004073684210526311,,0.004073684210526311
69933,2021,1,13,5,0.0,0.04484736842105264,-0.01031434184675839,0.04484736842105264
69971,2021,1,13,6,0.0,0.014191304347826063,,0.014191304347826063
70040,2021,1,13,7,-0.3948,-0.2603125,0.0019685039370078705,-0.6551125
70056,2021,1,13,8,0.0,0.011330000000000012,-0.003433055419323261,0.011330000000000012
70066,2021,1,13,9,0.0,0.3872111111111111,-0.10999563509384548,0.3872111111111111
70084,2021,1,13,10,0.0,0.1767153846153846,-0.200349040139616,0.1767153846153846
70097,2021,1,13,11,0.11470000000000001,0.1894571428571429,-0.09763779527559058,0.3041571428571429
70125,2021,1,13,12,0.4184999999999999,0.3065181818181818,-0.07461381521422328,0.7250181818181818
70147,2021,1,13,13,-0.5281666666666665,0.09754399999999999,0.02356801909307871,-0.4306226666666665
70222,2021,1,13,14,-0.022861111111111113,0.10271621621621627,0.014834998486224603,0.07985510510510516
70888,2021,1,13,15,0.013371794871794908,0.06962444444444428,0.05057251908396943,0.08299623931623919
72643,2021,1,13,16,0.08142600000000129,0.07579113924050615,0.006080000000000085,0.15721713924050745
76593,2021,1,13,17,0.12277714285714109,0.04729932885906065,-0.024047470331043156,0.17007647171620174
87023,2021,1,13,18,0.09130689655172312,0.04804924012157969,-0.01294697903822428,0.13935613667330282
96564,2021,1,13,19,0.08008000000000065,0.061397674418603845,-0.01097560975609757,0.14147767441860448
102584,2021,1,13,20,0.015605263157895748,0.10998813559322063,-0.1255665155958411,0.1255933987511164
107068,2021,1,13,21,0.21631999999999896,0.11927704918032792,,0.33559704918032685
109508,2021,1,13,22,0.09903999999999885,0.1269728813559318,,0.22601288135593064
113048,2021,1,13,23,0.10323437500000059,0.14648318584070766,,0.24971756084070823
116664,2021,1,14,0,0.08703333333333296,0.11543157894736866,,0.20246491228070163
118260,2021,1,14,1,0.1131049999999993,0.0916285714285715,,0.2047335714285708
120780,2021,1,14,2,0.09728484848484825,0.07530227272727272,,0.17258712121212097
123684,2021,1,14,3,0.27122400000000013,0.13481884057971033,,0.40604284057971046
125409,2021,1,14,4,0.05012083333333237,0.16016372549019647,,0.21028455882352884
127857,2021,1,14,5,0.23685714285714002,0.0747135135135134,0.04194444444444434,0.3115706563706534
129411,2021,1,14,6,0.2302250000000028,0.08226439393939391,0.0,0.3124893939393967
130467,2021,1,14,7,0.018266666666666646,0.0032545454545454596,-0.019073569482288888,0.021521212121212108
132051,2021,1,14,8,0.07104999999999993,0.03696619718309862,0.004103967168262779,0.10801619718309854
132619,2021,1,14,9,0.11407500000000022,0.04745342465753427,0.040125213431986266,0.16152842465753448
133203,2021,1,14,10,0.0930000000000003,0.15782456140350853,-0.002271436683702444,0.25082456140350884
134001,2021,1,14,11,0.11309999999999937,0.04089883720930233,-0.04501084598698489,0.1539988372093017
134947,2021,1,14,12,0.08408095238095215,0.13101794871794856,-0.029473684210526208,0.2150989010989007
137404,2021,1,14,13,0.0904612903225804,0.11463284671532822,-0.02338730403495237,0.20509413703790863
141651,2021,1,14,14,0.07802499999999889,0.05576999999999961,-0.00941955193482702,0.1337949999999985
146771,2021,1,14,15,0.06548235294117584,0.08198695652173901,-0.016032064128256533,0.14746930946291487
151072,2021,1,14,16,0.2153519999999901,0.09796899563318746,0.0073176886197325874,0.31332099563317756
156797,2021,1,14,17,0.08770303030303095,0.07648999999999898,-0.06400566839867737,0.16419303030302992
164387,2021,1,14,18,-0.05062424242424231,0.13687905405405443,0.009537434430138436,0.08625481162981212
169271,2021,1,14,19,0.07883571428571402,0.058389908256880466,-0.0014285714285714455,0.1372256225425945
178427,2021,1,14,20,0.02832105263157906,0.05094218009478667,0.004784688995215447,0.07926323272636573
182436,2021,1,14,21,0.0767809523809509,0.12116956521739065,,0.19795051759834154
186300,2021,1,14,22,0.10487692307692223,0.06353539325842636,,0.1684123163353486
190928,2021,1,14,23,0.13147199999999887,0.10739939393939338,,0.23887139393939225
195053,2021,1,15,0,0.16891176470588554,0.06772815533980588,,0.2366399200456914
196804,2021,1,15,1,0.15000000000000013,0.11303545454545431,,0.26303545454545446
199114,2021,1,15,2,0.07879047619047641,0.06212020202020208,,0.14091067821067849
201193,2021,1,15,3,0.06253125000000048,0.11436407766990264,,0.17689532766990312
202841,2021,1,15,4,0.1759588235294113,0.07704639175257735,,0.25300521528198866
204490,2021,1,15,5,0.20188823529412103,0.10093518518518536,0.03980099502487544,0.3028234204793064
206326,2021,1,15,6,0.10377000000000118,0.054603896103895995,-0.013254786450662692,0.15837389610389718
207866,2021,1,15,7,0.07104545454545484,0.017134188034188032,0.05845674201091189,0.08817964257964288
