,year,month,day,hour,nltk Sentiment,emoji senitment,sentiment,open,high,low,close,volume,return
11416,2020,12,27,4,0.053394444444444474,0.12962962962962962,0.2222222222222222,,,,,,
11417,2020,12,27,5,0.02097647058823529,0.14705882352941177,0.35294117647058826,,,,,,
11418,2020,12,27,6,-0.04368965517241377,0.1724137931034483,0.13793103448275862,,,,,,
11419,2020,12,27,7,0.16144545454545453,0.045454545454545456,0.09090909090909091,,,,,,
11420,2020,12,27,8,0.08842222222222224,0.05555555555555555,0.2777777777777778,,,,,,
11421,2020,12,27,9,-0.07701764705882354,0.11764705882352941,0.0,,,,,,
11422,2020,12,27,10,0.14349090909090909,0.18181818181818182,0.36363636363636365,,,,,,
11423,2020,12,27,11,0.1656857142857143,0.0,0.2857142857142857,,,,,,
11424,2020,12,27,12,0.11277272727272726,0.09090909090909091,0.36363636363636365,,,,,,
11425,2020,12,27,13,-0.018224999999999998,0.0,-0.25,,,,,,
11426,2020,12,27,14,0.22362222222222217,0.1111111111111111,0.5555555555555556,,,,,,
11427,2020,12,27,15,0.17930833333333332,0.16666666666666666,0.5,,,,,,
11428,2020,12,27,16,0.0589157894736842,0.05263157894736842,0.10526315789473684,,,,,,
11429,2020,12,27,17,0.06683333333333337,0.07407407407407407,0.25925925925925924,,,,,,
11430,2020,12,27,18,0.12587307692307695,0.09615384615384616,0.23076923076923078,,,,,,
11431,2020,12,27,19,0.02388888888888888,0.08888888888888889,0.13333333333333333,,,,,,
11432,2020,12,27,20,0.021042465753424614,0.0958904109589041,0.0547945205479452,,,,,,
11433,2020,12,27,21,0.04890285714285712,0.02857142857142857,0.11428571428571428,,,,,,
11434,2020,12,27,22,0.034184210526315796,0.08421052631578947,0.11578947368421053,,,,,,
11435,2020,12,27,23,0.17473076923076925,0.10256410256410256,0.38461538461538464,,,,,,
11436,2020,12,28,0,0.1036,0.23076923076923078,0.38461538461538464,,,,,,
11437,2020,12,28,1,0.06400408163265309,0.1836734693877551,0.3469387755102041,,,,,,
11438,2020,12,28,2,0.1942320754716981,0.16981132075471697,0.5094339622641509,,,,,,
11439,2020,12,28,3,0.11310833333333337,0.15,0.3333333333333333,,,,,,
11440,2020,12,28,4,0.047610606060606096,0.12121212121212122,0.19696969696969696,,,,,,
11441,2020,12,28,5,0.009732608695652173,0.08695652173913043,0.043478260869565216,20.25,23.5,20.2,23.29,17963.0,0.03419182948490218
